sheet,participant,condition,n_samples,fs_hz,logged_duration_s,window_method,turn_time_s,turn_peak_gyro_mag,onset_s,offset_s,detected_duration_s,duration_diff_s,window_clipped,bout_onset_s,bout_offset_s,bout_duration_s,bout_duration_diff_s,n_bouts,trial_notes
SWEAT_018DTG1,SWEAT-018,DTG1,4904,100.0,17.0,turn_anchored,13.44,260.40777739603965,4.94,21.94,17.0,0.0,False,3.25,32.26,29.01,12.010000000000002,4,MCTSIB Test 3 at 17:12 - recorded as 017 in error)
SWEAT_018DTG2,SWEAT-018,DTG2,3982,100.0,16.0,turn_anchored,13.55,262.4902287942127,5.55,21.55,16.0,0.0,False,5.27,24.03,18.76,2.7600000000000016,3,MCTSIB Test 3 at 17:12 - recorded as 017 in error)
SWEAT_018DTG3,SWEAT-018,DTG3,4187,100.0,16.0,turn_anchored,12.05,281.0398835325899,4.05,20.05,16.0,0.0,False,2.69,24.56,21.87,5.870000000000001,5,MCTSIB Test 3 at 17:12 - recorded as 017 in error)
SWEAT_019DTG TRIAL,SWEAT-019,DTG_TRIAL,5634,100.0,33.0,turn_anchored,22.9,177.7557497094432,6.4,39.4,33.0,0.0,False,4.14,40.51,36.37,3.3699999999999974,4,Never done DTG before
SWEAT_019DTG1,SWEAT-019,DTG1,3582,100.0,26.0,turn_anchored,17.17,247.7561461128362,4.17,30.17,26.0,0.0,False,4.35,33.27,28.92,2.9200000000000017,2,Never done DTG before
SWEAT_019DTG2,SWEAT-019,DTG2,3785,100.0,19.0,turn_anchored,11.96,255.37257347282954,2.46,21.46,19.0,0.0,False,3.16,32.29,29.13,10.129999999999999,2,Never done DTG before
SWEAT_019DTG3,SWEAT-019,DTG3,6148,100.0,18.0,turn_anchored,13.67,208.70012847367698,4.67,22.67,18.0,0.0,False,3.02,39.35,36.33,18.33,3,Never done DTG before
SWEAT_020DTG TRIAL,SWEAT-020,DTG_TRIAL,2531,100.0,17.0,turn_anchored,12.83,277.14468914063286,4.33,21.33,17.0,0.0,False,3.28,24.75,21.47,4.469999999999999,1,
SWEAT_020DTG1,SWEAT-020,DTG1,3130,100.0,14.0,turn_anchored,11.45,256.8221302079055,4.45,18.45,14.0,0.0,False,4.08,23.92,19.84,5.84,2,
SWEAT_020DTG2,SWEAT-020,DTG2,1440,100.0,14.0,turn_anchored,6.65,264.2937904882487,0.0,13.65,13.65,-0.34999999999999964,True,0.0,14.39,14.39,0.39000000000000057,1,
SWEAT_020DTG3,SWEAT-020,DTG3,3640,100.0,13.0,turn_anchored,26.22,7511.941219437235,19.72,32.72,13.0,0.0,False,3.16,33.36,30.2,17.2,1,
SWEAT_021DTG TRIAL,SWEAT-021,DTG_TRIAL,3180,100.0,24.0,turn_anchored,13.96,250.63572743765775,1.96,25.96,24.0,0.0,False,4.08,30.83,26.75,2.75,1,
SWEAT_021DTG1,SWEAT-021,DTG1,2891,100.0,20.0,turn_anchored,12.28,182.98739698168848,2.28,22.28,20.0,0.0,False,2.43,28.07,25.64,5.640000000000001,1,
SWEAT_021DTG2,SWEAT-021,DTG2,4451,100.0,19.0,turn_anchored,14.71,215.01623831754816,5.21,24.21,19.0,0.0,False,2.98,27.34,24.36,5.359999999999999,2,
SWEAT_021DTG3,SWEAT-021,DTG3,6526,100.0,17.0,turn_anchored,28.12,2486.3532164135595,19.62,36.62,17.0,0.0,False,1.07,32.16,31.09,14.09,8,
SWEAT_022DTG TRIAL,SWEAT-022,DTG_TRIAL,2395,100.0,24.0,turn_anchored,12.09,234.5369021658318,0.09,23.94,23.85,-0.14999999999999858,True,6.19,23.75,17.56,-6.440000000000001,2,
SWEAT_022DTG1,SWEAT-022,DTG1,2092,100.0,21.0,turn_anchored,9.58,257.0216868886805,0.0,20.08,20.08,-0.9200000000000017,True,0.27,20.91,20.64,-0.35999999999999943,1,
SWEAT_022DTG2,SWEAT-022,DTG2,2026,100.0,21.0,turn_anchored,10.01,235.8835594152281,0.0,20.25,20.25,-0.75,True,0.0,19.96,19.96,-1.0399999999999991,1,
SWEAT_022DTG3,SWEAT-022,DTG3,6765,100.0,19.0,turn_anchored,37.01,1880.4420203574668,27.51,46.51,19.0,0.0,False,0.0,44.49,44.49,25.490000000000002,4,
SWEAT_023DTG TRIAL,SWEAT-023,DTG_TRIAL,2670,100.0,20.0,turn_anchored,12.57,230.49473613193436,2.57,22.57,20.0,0.0,False,2.8,26.21,23.41,3.41,1,
SWEAT_023DTG1,SWEAT-023,DTG1,2204,100.0,17.0,turn_anchored,9.87,269.9982795538553,1.37,18.37,17.0,0.0,False,1.66,21.99,20.33,3.3299999999999983,1,
SWEAT_023DTG2,SWEAT-023,DTG2,3170,100.0,19.0,turn_anchored,14.51,223.73636190997135,5.01,24.01,19.0,0.0,False,5.74,31.69,25.95,6.949999999999999,1,
SWEAT_023DTG3,SWEAT-023,DTG3,3849,100.0,17.0,turn_anchored,12.19,229.85677480631716,3.69,20.69,17.0,0.0,False,3.52,24.18,20.66,3.66,4,
SWEAT_024DTG TRIAL,SWEAT-024,DTG_TRIAL,2319,100.0,23.0,turn_anchored,11.45,181.0196051679713,0.0,22.95,22.95,-0.05000000000000071,True,7.52,23.18,15.66,-7.34,2,
SWEAT_024DTG1,SWEAT-024,DTG1,1955,100.0,19.0,turn_anchored,9.3,186.7874045835136,0.0,18.8,18.8,-0.1999999999999993,True,0.0,19.22,19.22,0.21999999999999886,1,
SWEAT_024DTG2,SWEAT-024,DTG2,1793,100.0,18.0,turn_anchored,8.2,161.65036115050546,0.0,17.2,17.2,-0.8000000000000007,True,0.22,17.92,17.7,-0.3000000000000007,1,
SWEAT_024DTG3,SWEAT-024,DTG3,2043,100.0,21.0,turn_anchored,9.14,225.1571680082044,0.0,19.64,19.64,-1.3599999999999994,True,0.22,20.42,20.2,-0.8000000000000007,1,
SWEAT_025DTG TRIAL,SWEAT-025,DTG_TRIAL,3545,100.0,19.0,turn_anchored,10.45,183.03685580179743,0.95,19.95,19.0,0.0,False,0.51,22.76,22.25,3.25,3,
SWEAT_025DTG1,SWEAT-025,DTG1,4151,100.0,20.0,turn_anchored,10.63,235.6983391576716,0.63,20.63,20.0,0.0,False,0.0,28.04,28.04,8.04,4,
SWEAT_025DTG2,SWEAT-025,DTG2,2099,100.0,20.0,turn_anchored,10.02,232.90333611517295,0.02,20.02,20.0,0.0,False,4.26,20.51,16.25,-3.75,3,
